X,Y,Z,score
Lithuania,Dolphin,18,0.465
Georgia,Bison,6,0.765
Singapore,Hornet,18,0.135
Wisconsin,Beaver,0,0.59
Mozambique,Donkey,34,0.405
Texas,Giant_Panda,51,0.565
Minnesota,Hamster,7,0.545
Cyprus,Pelican,4,0.345
Latvia,Wren,52,0.65
Michigan,Ostrich,40,0.24
Maine,Coyote,33,0.615
Maryland,Coyote,41,0.205
COSTA_RICA,Mallard,38,0.065
Sweden,Pelican,36,0.53
Pennsylvania,Chamois,23,0.24
TRINIDAD_AND_TOBAGO,Otter,54,0.28
EL_SALVADOR,Nightingale,24,0.155
Tennessee,Fish,6,0.69
Finland,Otter,47,0.165
Oregon,Hamster,36,0.21
COSTA_RICA,Hamster,51,0.835
Tonga,Flamingo,32,0.34
Serbia,Goose,40,0.745
Malawi,Alligator,34,0.03
Slovenia,Rhinoceros,44,0.56
Tennessee,Pelican,21,0.34
Turkey,Heron,40,0.57
Netherlands,Otter,22,0.71
Colombia,Beaver,32,0.965
Malaysia,Zebra,30,0.8
Monaco,Zebra,2,0.885
Denmark,Gerbil,10,0.465
Lithuania,Hyena,36,0.47
Arizona,Quail,17,0.25
Hawaii,Partridge,38,0.825
Michigan,Zebra,58,0.54
Ukraine,Giraffe,29,0.785
Serbia,Goldfinch,5,0.17
Nauru,Ram,47,0.44
Monaco,Columbidae,31,0.475
Italy,Hamster,3,0.125
Grenada,Heron,18,0.65
Ghana,Jackal,21,0.64
France,Moose,13,0.92
Samoa,Jackal,49,0.295
Malta,Mallard,33,0.765
Tonga,Quail,3,0.585
Italy,Beaver,20,0.67
Spain,Human,27,0.015
New_Jersey,Cheetah,52,0.715
Jordan,Snipe,39,0.545
Denmark,Hyena,31,0.54
Malawi,Jaguar,31,0.23
Guatemala,Mallard,46,0.925
Uruguay,Goose,7,0.35
Namibia,Skunk,36,0.55
Australia,Mouse,1,0.19
Guatemala,Ostrich,15,0.58
Saudi_Arabia,Snipe,56,0.88
Tonga,Mallard,49,0.82
Croatia,Giant_Panda,5,0.435
NEW_ZEALAND,Skunk,2,0.835
TRINIDAD_AND_TOBAGO,Human,1,0.99
Arizona,Black_panther,52,0.665
Uzbekistan,Cormorant,54,0.66
Grenada,Mallard,41,0.03
Greece,Fish,19,0.14
New_Mexico,Wombat,23,0.025
Mozambique,Heron,7,0.875
Cyprus,Magpie,52,0.4
Virginia,Badger,33,0.445
Taiwan,Heron,50,0.64
Netherlands,Chamois,28,0.77
Ukraine,Jaguar,16,0.095
Switzerland,Alligator,40,0.21
Netherlands,Skunk,10,0.08
CZECH_REPUBLIC,Heron,14,0.47
Wisconsin,Lion,4,0.165
Tanzania,Black_panther,41,0.89
Tanzania,Pinniped,20,0.015
Canada,Otter,58,0.615
Luxembourg,Cheetah,53,0.44
Ethiopia,Badger,1,0.665
Virginia,Moose,1,0.565
Netherlands,Zebra,53,0.75
Wisconsin,Quail,4,0.39
Illinois,Hornet,15,0.145
Tunisia,Jaguar,52,0.995
Switzerland,Wombat,48,0.075
Rhode_Island,Hamster,19,0.985
Uruguay,Peafowl,40,0.77
COSTA_RICA,Cobra,6,0.945
Netherlands,Manatee,12,0.7
France,Donkey,12,0.585
Slovakia,Gazelle,44,0.62
Ireland,Human,11,0.095
Kiribati,Goose,45,0.275
Georgia,Gorilla,30,0.37
Vatican_City,Beaver,32,0.65
South_Carolina,Lion,8,0.225
Tanzania,Dolphin,21,0.185
DOMINICAN_REPUBLIC,Hyena,14,0.85
Morocco,Crow,33,0.53
Colombia,Skunk,34,0.215
Finland,Bison,59,0.035
Denmark,Goose,57,0.43
Kiribati,Cheetah,53,0.85
Morocco,Louse,20,0.21
Tennessee,Cobra,1,0.62
Tonga,Columbidae,26,0.765
Louisiana,Mallard,12,0.37
Finland,Alligator,58,0.635
Singapore,Coyote,53,0.87
WESTERN_SAHARA,Hyena,45,0.215
Maryland,Chamois,4,0.055
California,Hornet,1,0.34
California,Columbidae,12,0.595
DOMINICAN_REPUBLIC,Mouse,48,0.135
NEW_ZEALAND,Mouse,5,0.535
Malawi,Gazelle,6,0.5
NEW_ZEALAND,Jaguar,31,0.895
Washington,Cobra,1,0.77
Wisconsin,Nightingale,59,0.845
Lithuania,Pelican,55,0.71
North_Carolina,Raven,50,0.32
Wyoming,Zebra,44,0.765
COSTA_RICA,Wren,42,0.62
Pennsylvania,Peafowl,29,0.465
Illinois,Heron,29,0.06
Serbia,Fish,36,0.98
France,Cheetah,34,0.58
TRINIDAD_AND_TOBAGO,Jackal,45,0.975
Ecuador,Gerbil,44,0.095
Barbados,Camel,9,0.445
Croatia,Camel,45,0.38
Missouri,Bison,7,0.22
South_Carolina,Goldfinch,44,0.21
Slovakia,Wombat,35,0.675
Ecuador,Heron,36,0.38
Guatemala,Jaguar,7,0.21
Colombia,Wren,47,0.64
Rhode_Island,Jaguar,17,0.395
Virginia,Flamingo,55,0.33
Croatia,Wombat,18,0.265
Missouri,Cheetah,49,0.955
TRINIDAD_AND_TOBAGO,Crow,40,0.08
MARSHALL_ISLANDS,Gazelle,38,0.095
Australia,Ram,54,0.13
Luxembourg,Jackal,44,0.255
Australia,Manatee,58,0.725
Taiwan,Alligator,32,0.155
Lithuania,Beaver,37,0.565
Sweden,Ram,42,0.155
Michigan,Pelican,29,0.73
Tonga,Gorilla,33,0.395
Singapore,Jaguar,47,0.135
Massachusetts,Pelican,33,0.81
TRINIDAD_AND_TOBAGO,Chamois,4,0.305
Finland,Columbidae,5,0.375
Barbados,Badger,52,0.55
Ukraine,Human,0,0.125
Missouri,Otter,0,0.36
Maryland,Heron,48,0.915
California,Rhinoceros,43,0.23
Ecuador,Quail,16,0.725
Uruguay,Hyena,52,0.565
Malta,Crow,22,0.595
Alabama,Partridge,38,0.97
Croatia,Jackal,11,0.365
Grenada,Mallard,42,0.545
Michigan,Alligator,2,0.91
Florida,Cheetah,0,0.67
Malaysia,Wren,20,0.97
Zimbabwe,Flamingo,29,0.15
Samoa,Baboon,19,0.395
EQUATORIAL_GUINEA,Mallard,41,0.45
Colombia,Cheetah,14,0.335
Nebraska,Gerbil,48,0.54
Malawi,Nightingale,56,0.15
Hawaii,Mallard,29,0.175
Texas,Wren,31,0.34
Saudi_Arabia,Lion,27,0.04
Dominica,Fox,22,0.205
Florida,Gazelle,49,0.475
EL_SALVADOR,Mule,23,0.36
Rhode_Island,Ram,48,0.67
Uganda,Columbidae,46,0.94
Kiribati,Quail,1,0.13
Uruguay,Hyena,33,0.495
France,Black_panther,50,0.01
North_Carolina,Jackal,19,0.86
Finland,Cormorant,39,0.71
Finland,Mallard,10,0.54
Finland,Fish,34,0.135
CZECH_REPUBLIC,Mallard,23,0.88
Jordan,Cobra,14,0.925
DOMINICAN_REPUBLIC,Snipe,57,0.005
Spain,Fish,23,0.2
Sweden,Gerbil,41,0.815
Hawaii,Zebra,21,0.315
Australia,Heron,20,0.765
COSTA_RICA,Donkey,2,0.185
Alaska,Giraffe,49,0.925
Tonga,Pelican,21,0.15
Spain,Swallow,12,0.35
COSTA_RICA,Ram,24,0.985
Luxembourg,Flamingo,18,0.47
Australia,Human,51,0.405
Finland,Columbidae,42,0.14
Nepal,Snipe,18,0.145
Ghana,Badger,20,0.09
Ukraine,Magpie,30,0.6
Alabama,Mule,13,0.015
North_Carolina,Fish,41,0.21
Maine,Wren,42,0.49
Finland,Skunk,45,0.66
Tanzania,Cormorant,52,0.265
California,Ram,40,0.81
Taiwan,Wren,57,0.05
Ethiopia,Badger,13,0.67
Nigeria,Gazelle,31,0.625
Rhode_Island,Gazelle,40,0.865
Monaco,Dolphin,24,0.615
Slovenia,Goldfinch,12,0.97
DOMINICAN_REPUBLIC,Goldfinch,17,0.8
Georgia,Donkey,14,0.475
Colombia,Wren,9,0.215
Denmark,Mule,54,0.855
Malta,Magpie,0,0.575
Minnesota,Badger,36,0.8
Zambia,Pinniped,39,0.12
Morocco,Goldfinch,10,0.265
Tonga,Flamingo,49,0.4
Tennessee,Crow,16,0.925
Serbia,Alligator,20,0.47
Colombia,Zebra,13,0.665
Ukraine,Wren,37,0.37
Uruguay,Mallard,26,0.6
France,Ram,20,0.355
Tanzania,Cormorant,39,0.005
Taiwan,Manatee,28,0.995
Zimbabwe,Giant_Panda,32,0.785
Missouri,Fox,40,0.75
Nebraska,Lion,10,0.56
Illinois,Cormorant,46,0.965
Samoa,Wombat,13,0.43
Saudi_Arabia,Snipe,0,0.08
Tuvalu,Chamois,35,0.92
Nebraska,Gerbil,53,0.02
North_Carolina,Peafowl,50,0.17
NEW_ZEALAND,Nightingale,31,0.01
Colombia,Human,55,0.46
Tennessee,Flamingo,4,0.485
Switzerland,Ram,13,0.74
EQUATORIAL_GUINEA,Giraffe,25,0.405
