X,Y,Z,score
Guatemala,Camel,11,0.745
WESTERN_SAHARA,Moose,41,0.555
Namibia,Badger,25,0.59
DOMINICAN_REPUBLIC,Snipe,0,0.34
Samoa,Magpie,9,0.3
Hawaii,Sheep,55,0.18
Ghana,Goose,45,0.11
Lithuania,Fox,52,0.505
Serbia,Donkey,39,0.62
Thailand,Baboon,44,0.715
Nauru,Hyena,57,0.76
Singapore,Raven,34,0.895
Pennsylvania,Goldfinch,30,0.365
Virginia,Gazelle,9,0.11
Slovakia,Crow,9,0.02
Malaysia,Skunk,11,0.4
Oregon,Zebra,8,0.665
CZECH_REPUBLIC,Giant_Panda,10,0.775
Louisiana,Louse,18,0.655
Cyprus,Coyote,49,0.005
Switzerland,Beaver,39,0.51
Turkey,Gorilla,47,0.295
Tonga,Columbidae,43,0.965
COSTA_RICA,Gerbil,36,0.76
Nepal,Nightingale,37,0.32
Japan,Mallard,43,0.62
Taiwan,Partridge,12,0.305
DOMINICAN_REPUBLIC,Peafowl,10,0.665
Alaska,Goldfinch,41,0.6
Slovenia,Magpie,6,0.795
Guatemala,Raven,28,0.325
Morocco,Manatee,40,0.935
Denmark,Flamingo,38,0.69
Luxembourg,Nightingale,51,0.765
Texas,Baboon,45,0.555
Slovenia,Baboon,28,0.55
Dominica,Ostrich,42,0.9
Lithuania,Hyena,9,0.425
Malaysia,Fish,13,0.555
MARSHALL_ISLANDS,Gerbil,33,0.005
Tonga,Cheetah,15,0.62
Latvia,Pelican,17,0.175
Italy,Swallow,33,0.985
Uganda,Cheetah,56,0.845
Arizona,Wombat,23,0.615
Uruguay,Giraffe,55,0.99
Madagascar,Crow,9,0.575
South_Carolina,Sheep,58,0.14
EQUATORIAL_GUINEA,Giant_Panda,24,0
France,Jackal,5,0.835
TRINIDAD_AND_TOBAGO,Cormorant,46,0.14
Colombia,Ram,16,0.855
Massachusetts,Louse,46,0.33
Hawaii,Badger,48,0.015
DOMINICAN_REPUBLIC,Mallard,17,0.555
Minnesota,Fish,50,0.63
Ireland,Jaguar,40,0.185
North_Carolina,Pelican,29,0.92
Canada,Hamster,9,0.935
EL_SALVADOR,Donkey,54,0.085
Latvia,Giant_Panda,22,0.825
Nigeria,Badger,52,0.74
Ireland,Alligator,0,0.95
Netherlands,Mule,39,0.295
Uruguay,Giraffe,40,0.65
Croatia,Quail,27,0.645
EQUATORIAL_GUINEA,Fox,14,0.475
Wisconsin,Mallard,2,0.2
MARSHALL_ISLANDS,Hamster,56,0.68
Virginia,Beaver,37,0.665
Grenada,Flamingo,14,0.57
Arizona,Black_panther,31,0.29
Malta,Cormorant,14,0.42
Greece,Hornet,47,0.475
France,Reindeer,46,0.55
Mississippi,Fish,1,0.11
Sweden,Wren,38,0.31
Massachusetts,Sheep,4,0.31
Pennsylvania,Pinniped,36,0.01
Saudi_Arabia,Cobra,58,0.675
Morocco,Cobra,29,0.285
Finland,Swallow,4,0.345
New_Mexico,Coyote,4,0.445
EL_SALVADOR,Lion,37,0.635
Illinois,Wren,41,0.975
Barbados,Louse,9,0.295
COSTA_RICA,Gazelle,21,0.845
Massachusetts,Ram,34,0.075
Taiwan,Human,42,0.4
Spain,Alligator,50,0.325
New_Jersey,Louse,19,0.6
Alaska,Alligator,2,0.8
Ghana,Donkey,40,0.04
Pennsylvania,Skunk,30,0.885
Alabama,Mule,29,0.365
Florida,Hyena,50,0.625
EL_SALVADOR,Quail,3,0.06
WESTERN_SAHARA,Hamster,56,0.02
Tunisia,Otter,5,0.29
Massachusetts,Fish,44,0.645
Denmark,Crow,45,0.585
EL_SALVADOR,Flamingo,29,0.65
Minnesota,Partridge,16,0.33
Slovenia,Beaver,11,0.805
Nigeria,Columbidae,2,0.315
France,Coyote,19,0.78
Grenada,Crow,25,0.125
Nauru,Swallow,58,0.4
WESTERN_SAHARA,Hornet,9,0.145
Denmark,Pelican,46,0.54
New_Mexico,Beaver,5,0.92
TRINIDAD_AND_TOBAGO,Otter,52,0.985
Australia,Moose,23,0.525
Malawi,Cormorant,52,0.385
Zimbabwe,Cheetah,32,0.755
Canada,Quail,36,0.34
Zambia,Otter,27,0.9
Washington,Reindeer,4,0.16
Michigan,Rhinoceros,35,0.375
Slovakia,Mouse,21,0.06
Netherlands,Magpie,24,0.875
EQUATORIAL_GUINEA,Sheep,58,0.56
Ecuador,Mallard,32,0.015
Mississippi,Baboon,36,0.625
Taiwan,Reindeer,57,0.98
Tennessee,Zebra,48,0.405
Sweden,Partridge,43,0.185
Netherlands,Otter,22,0.105
MARSHALL_ISLANDS,Gerbil,28,0.965
CZECH_REPUBLIC,Dolphin,40,0.01
Maine,Louse,52,0.545
Rhode_Island,Otter,11,0.86
Zimbabwe,Giraffe,51,0.405
Ecuador,Dolphin,46,0.155
Lithuania,Nightingale,27,0.72
Saudi_Arabia,Goose,14,0.105
Massachusetts,Gazelle,42,0.515
Uzbekistan,Lion,2,0.31
Tennessee,Reindeer,20,0.325
Monaco,Raven,18,0.12
Louisiana,Fish,45,0.215
Uganda,Magpie,57,0.81
Florida,Pinniped,25,0.99
WESTERN_SAHARA,Dolphin,58,0.76
Slovenia,Manatee,33,0.085
Louisiana,Manatee,0,0.855
TRINIDAD_AND_TOBAGO,Ram,53,0.76
Minnesota,Gorilla,6,0.795
Singapore,Louse,47,0.99
Texas,Zebra,40,0.14
NEW_ZEALAND,Quail,40,0.425
Singapore,Giraffe,58,0.055
Turkey,Gazelle,51,0.945
Malaysia,Fish,44,0.155
EL_SALVADOR,Peafowl,42,0.7
Romania,Dolphin,56,0.095
Tunisia,Mule,14,0.505
Maryland,Donkey,23,0.16
Hawaii,Fish,18,0.135
Japan,Mallard,56,0.735
Tonga,Columbidae,41,0.685
Greece,Mouse,1,0.39
Barbados,Giant_Panda,38,0.355
Missouri,Human,53,0.345
Mozambique,Cheetah,59,0.205
Italy,Bison,46,0.815
Nepal,Ostrich,55,0.4
Washington,Black_panther,54,0.495
Kiribati,Human,15,0.145
TRINIDAD_AND_TOBAGO,Jackal,46,0.145
Ethiopia,Sheep,46,0.29
EQUATORIAL_GUINEA,Cormorant,27,0.505
WESTERN_SAHARA,Cheetah,51,0.07
Serbia,Fox,22,0.615
Florida,Bison,46,0.14
Saudi_Arabia,Zebra,35,0.12
Hawaii,Giraffe,55,0.94
NEW_ZEALAND,Wombat,42,0.34
Missouri,Wren,3,0.425
Canada,Quail,23,0.675
Canada,Raven,57,0.41
Zambia,Coyote,12,0.04
Samoa,Mouse,54,0.205
Massachusetts,Dolphin,24,0.18
Virginia,Pinniped,14,0.055
Finland,Cheetah,6,0.59
Taiwan,Partridge,57,0.48
Tunisia,Manatee,42,0.475
Georgia,Dolphin,52,0.385
Zimbabwe,Zebra,9,0.43
Uganda,Otter,58,0.385
Slovenia,Human,32,0.23
Tennessee,Mallard,30,0.08
Nigeria,Louse,1,0.645
Uganda,Coyote,52,0.695
Namibia,Raven,57,0.185
New_Jersey,Bison,11,0.685
Nebraska,Nightingale,19,0.03
Washington,Partridge,37,0.055
Jordan,Alligator,10,0.91
Nebraska,Jackal,55,0.335
COSTA_RICA,Hyena,23,0.515
Serbia,Mule,48,0.225
Ecuador,Magpie,36,0.97
Canada,Mallard,36,0.495
California,Quail,34,0.645
Italy,Ram,23,0.375
Zimbabwe,Heron,47,0.315
Canada,Crow,11,0.725
Tennessee,Baboon,48,0.295
Nepal,Human,48,0.045
Washington,Wren,29,0.165
Zimbabwe,Heron,9,0.605
North_Carolina,Nightingale,26,0.195
Nigeria,Manatee,30,0.785
Nauru,Fish,26,0.77
Romania,Chamois,35,0.05
Barbados,Louse,6,0.21
Maryland,Gazelle,22,0.055
Ethiopia,Ram,46,0.29
Slovakia,Gerbil,49,0.715
EL_SALVADOR,Wren,40,0.965
Cyprus,Wren,50,0.695
Alaska,Wombat,41,0.24
Malta,Pelican,32,0.875
Slovenia,Wren,3,0.705
Massachusetts,Heron,3,0.445
Malaysia,Cormorant,7,0.485
Lithuania,Heron,3,0.74
Samoa,Giraffe,35,0.275
Rhode_Island,Fish,35,0.995
Italy,Dolphin,44,0.84
Ethiopia,Cormorant,33,0.825
Louisiana,Coyote,23,0.49
France,Partridge,15,0.015
Turkey,Reindeer,13,0.36
Barbados,Wren,23,0.62
Kiribati,Swallow,24,0.315
Vatican_City,Mouse,38,0.245
Madagascar,Flamingo,51,0.61
Madagascar,Cormorant,17,0.2
Minnesota,Cobra,49,0.165
Florida,Hamster,31,0.57
EL_SALVADOR,Fish,48,0.86
Mozambique,Wren,44,0.675
Japan,Gorilla,25,0.67
Saudi_Arabia,Otter,16,0.185
Taiwan,Nightingale,53,0.155
Wyoming,Chamois,31,0.61
Barbados,Baboon,5,0.17
Maryland,Black_panther,19,0.34
South_Carolina,Lion,52,0.08
Alabama,Louse,13,0.61
Latvia,Mouse,46,0.105
New_Mexico,Wombat,40,0.36
Thailand,Chamois,35,0.92
Massachusetts,Giant_Panda,42,0.32
Malta,Zebra,19,0.7
Turkey,Goose,42,0.16
Greece,Hamster,32,0.745
Malaysia,Gorilla,42,0.945
Croatia,Columbidae,21,0.515
