A,B,score,
Spain,Mouse,0.65,
Oregon,Human,0.42,
Thailand,Jaguar,0.955,
Ukraine,Coyote,0.815,
EL_SALVADOR,Giant_Panda,0.775,
Arizona,Dolphin,0.115,
Australia,Louse,0.205,
Canada,Bison,0.465,
Nigeria,Swallow,0.79,
Barbados,Ram,0.21,
Canada,Heron,0.83,
EL_SALVADOR,Nightingale,0.15,
Cyprus,Rhinoceros,0.405,
Denmark,Fox,0.155,
EQUATORIAL_GUINEA,Rhinoceros,0.485,
NEW_ZEALAND,Baboon,0.575,
Japan,Goose,0.66,
Nigeria,Partridge,0.66,
Guatemala,Zebra,0.19,
EQUATORIAL_GUINEA,Columbidae,0.89,
DOMINICAN_REPUBLIC,Black_panther,0.75,
South_Carolina,Jackal,0.045,
Guatemala,Cheetah,0.495,
Colombia,Wombat,0.58,
Arizona,Ostrich,0.255,
Turkey,Pelican,0.665,
Nepal,Hyena,0.575,
Cyprus,Human,0.6,
Colombia,Alligator,0.615,
Pennsylvania,Fish,0.675,
Greece,Gorilla,0.22,
Thailand,Reindeer,0.53,
New_Mexico,Ostrich,0.38,
Zambia,Hyena,0.295,
Nauru,Gerbil,0.445,
Ukraine,Gazelle,0.615,
Alaska,Jaguar,0.865,
Ireland,Hamster,0.165,
Nigeria,Ostrich,0.665,
NEW_ZEALAND,Giraffe,0.81,
Switzerland,Cobra,0.43,
Pennsylvania,Lion,0.815,
DOMINICAN_REPUBLIC,Gazelle,0.4,
Saudi_Arabia,Jackal,0.65,
Luxembourg,Hornet,0.49,
Uzbekistan,Crow,0.15,
Uzbekistan,Badger,0.08,
Romania,Mallard,0.865,
Tuvalu,Goldfinch,0.87,
Spain,Peafowl,0.385,
Taiwan,Hornet,0.8,
Tennessee,Fox,0.685,
Taiwan,Goldfinch,0.86,
Taiwan,Donkey,0.08,
New_Jersey,Lion,0.8,
Romania,Cobra,0.99,
Australia,Goldfinch,0.01,
Australia,Skunk,0.245,
Missouri,Snipe,0.195,
EL_SALVADOR,Manatee,0.885,
New_Mexico,Mule,0.765,
Wisconsin,Giraffe,0.755,
Nauru,Peafowl,0.63,
Malaysia,Peafowl,0.94,
Georgia,Camel,0.01,
DOMINICAN_REPUBLIC,Reindeer,0.765,
Uruguay,Gazelle,0.235,
Slovenia,Human,0.495,
Singapore,Pinniped,0.3,
Texas,Gorilla,0.64,
Texas,Bison,0.75,
Serbia,Louse,0.635,
Mississippi,Fish,0.59,
Zimbabwe,Black_panther,0.365,
Nauru,Mallard,0.875,
Tuvalu,Columbidae,0.85,
Tonga,Louse,1,
Pennsylvania,Pinniped,0.025,
Tuvalu,Mouse,0.47,
Ethiopia,Reindeer,0.94,
Florida,Goose,0.71,
Netherlands,Cormorant,0.29,
Washington,Manatee,0.59,
Japan,Dolphin,0.25,
Ukraine,Jaguar,0.31,
Madagascar,Rhinoceros,0.075,
Japan,Flamingo,0.54,
Madagascar,Rhinoceros,0.745,
Guatemala,Columbidae,0.99,
Barbados,Bison,0.135,
Finland,Wren,0.185,
Monaco,Hornet,0.235,
Alaska,Dolphin,0.82,
Tonga,Sheep,0.395,
Monaco,Lion,0.33,
Louisiana,Gorilla,0.985,
Jordan,Giraffe,0.805,
Greece,Peafowl,0.925,
Alaska,Louse,0.005,
Nauru,Human,0.295,
South_Carolina,Ram,0.63,
Washington,Peafowl,0.19,
Thailand,Hornet,0.765,
Luxembourg,Gerbil,0.22,
Taiwan,Nightingale,0.585,
Samoa,Badger,0.905,
Georgia,Raven,0.285,
Nebraska,Partridge,0.91,
Taiwan,Giant_Panda,0.065,
Zambia,Coyote,0.6,
Texas,Goose,0.525,
Italy,Black_panther,0.215,
Missouri,Gerbil,0.77,
Arizona,Crow,0.335,
Ecuador,Louse,0.21,
Missouri,Bison,0.935,
Texas,Baboon,0.105,
Minnesota,Lion,0.385,
Serbia,Hamster,0.695,
Canada,Gazelle,0.395,
Colombia,Otter,0.355,
Cyprus,Gazelle,0.41,
Japan,Pelican,0.525,
Malta,Wren,0.265,
Nebraska,Rhinoceros,0.53,
Zimbabwe,Heron,0.39,
Dominica,Ostrich,0.66,
Illinois,Ram,0.745,
Sudan,Magpie,0.48,
Hawaii,Quail,0.915,
EL_SALVADOR,Gazelle,0.87,
Barbados,Wombat,0.15,
Hawaii,Chamois,0.905,
New_Jersey,Hyena,0.11,
Alabama,Goose,0.67,
Latvia,Pinniped,0.33,
NEW_ZEALAND,Nightingale,0.88,
Monaco,Magpie,0.815,
Finland,Raven,0.475,
Illinois,Mouse,0.825,
Denmark,Rhinoceros,0.595,
Dominica,Mallard,0.495,
Cyprus,Wren,0.655,
Nauru,Baboon,0.125,
Nebraska,Hornet,0.68,
Turkey,Goose,0.795,
COSTA_RICA,Flamingo,0.3,
Malawi,Fox,0.375,
CZECH_REPUBLIC,Nightingale,0.24,
Illinois,Bison,0.655,
TRINIDAD_AND_TOBAGO,Nightingale,0.09,
Mozambique,Jackal,0.57,
Washington,Jackal,0.95,
Arizona,Dolphin,0.305,
Maryland,Badger,0.13,
Michigan,Columbidae,0.005,
Michigan,Beaver,0.05,
California,Louse,0.95,
Croatia,Alligator,0.115,
Samoa,Zebra,0.885,
Washington,Gazelle,0.56,
Florida,Snipe,0.29,
New_Mexico,Sheep,0.155,
Saudi_Arabia,Sheep,0.385,
Sudan,Louse,0.13,
Jordan,Ostrich,0.16,
Nebraska,Human,0.925,
Vatican_City,Flamingo,0.75,
Switzerland,Pelican,0.9,
North_Carolina,Cormorant,0.35,
Missouri,Heron,0.96,
Massachusetts,Sheep,0.665,
Uruguay,Donkey,0.74,
Greece,Hornet,0.485,
EL_SALVADOR,Flamingo,0.45,
Maryland,Rhinoceros,0.52,
Jordan,Sheep,0.185,
Mississippi,Sheep,0.535,
EL_SALVADOR,Baboon,0.96,
Nebraska,Reindeer,0.48,
Missouri,Partridge,0.93,
Tonga,Coyote,0.835,
Guatemala,Wren,0.065,
Vatican_City,Gerbil,0.56,
Wyoming,Swallow,0.915,
Thailand,Human,0.91,
California,Human,0.93,
NEW_ZEALAND,Jackal,0.47,
New_Jersey,Cobra,0.59,
Croatia,Black_panther,0.76,
Tonga,Mallard,0.39,
Sweden,Skunk,0.245,
Sudan,Goldfinch,0.215,
Vatican_City,Hamster,0.89,
Barbados,Beaver,0.205,
Saudi_Arabia,Chamois,0.625,
Uzbekistan,Mallard,0.03,
Spain,Columbidae,0,
MARSHALL_ISLANDS,Pinniped,0.355,
Washington,Hornet,0.905,
Tuvalu,Giant_Panda,0.13,
South_Carolina,Beaver,0.155,
Morocco,Ostrich,0.685,
Italy,Pelican,0.385,
DOMINICAN_REPUBLIC,Peafowl,0.1,
Tennessee,Wombat,0.83,
Sweden,Jackal,0.905,
NEW_ZEALAND,Chamois,0.405,
Denmark,Giraffe,0.26,
Zambia,Skunk,0.13,
Mississippi,Manatee,0.24,
Romania,Gazelle,0.41,
Ghana,Skunk,0.205,
Nauru,Swallow,0.36,
Dominica,Wombat,0.64,
Texas,Dolphin,0.16,
Slovakia,Crow,0.51,
Grenada,Louse,0.28,
Tanzania,Zebra,0.555,
Dominica,Baboon,0.855,
