A,B,score
Denmark,Moose,0.265
TRINIDAD_AND_TOBAGO,Pelican,0.375
Morocco,Jaguar,0.515
Alaska,Human,0.19
New_Jersey,Rhinoceros,0.72
Sweden,Wren,0.645
Colombia,Peafowl,0.51
Australia,Gorilla,0.35
Vatican_City,Black_panther,0.09
Nepal,Goose,0.26
South_Carolina,Louse,0.625
Kiribati,Giant_Panda,0.13
Kiribati,Louse,0.55
Saudi_Arabia,Jaguar,0.705
Barbados,Flamingo,0.135
Netherlands,Mule,0.4
Louisiana,Chamois,0.045
Malta,Jackal,0.94
Sweden,Swallow,0.065
Greece,Zebra,0.02
Nauru,Ram,0.27
Rhode_Island,Ram,0.005
Lithuania,Beaver,0.61
Sweden,Mallard,0.225
Slovakia,Lion,0.535
NEW_ZEALAND,Badger,0.335
Madagascar,Giant_Panda,0.895
Nigeria,Goose,0.455
Zimbabwe,Crow,0.3
New_Jersey,Mouse,0.78
France,Cormorant,0.13
Missouri,Black_panther,0.12
Sweden,Lion,0.02
Georgia,Pinniped,0.09
Tunisia,Rhinoceros,0.715
Uzbekistan,Badger,0.855
Massachusetts,Chamois,0.5
Thailand,Chamois,0.705
Taiwan,Moose,0.625
Tennessee,Crow,0.24
Taiwan,Badger,0.455
Uganda,Black_panther,0.65
Hawaii,Coyote,0.31
Florida,Black_panther,0.56
Colombia,Columbidae,0.805
Monaco,Gorilla,0.135
NEW_ZEALAND,Cobra,0.56
DOMINICAN_REPUBLIC,Ram,0.38
Hawaii,Mouse,0.375
Kiribati,Wren,0.165
Madagascar,Rhinoceros,0.25
Morocco,Wren,0.26
Guatemala,Giant_Panda,0.13
Uzbekistan,Manatee,0.875
Slovakia,Pinniped,0.285
Turkey,Pelican,0.73
Luxembourg,Wren,0.49
DOMINICAN_REPUBLIC,Chamois,0.19
Singapore,Magpie,0.785
Finland,Hornet,0.67
New_Jersey,Ostrich,0.48
Ghana,Columbidae,0.94
Italy,Flamingo,0.04
Barbados,Mallard,0.2
Alabama,Badger,0.22
Missouri,Mule,0.615
France,Cobra,0.27
Ireland,Snipe,0.865
Australia,Dolphin,0.41
Missouri,Chamois,0.99
Malawi,Rhinoceros,0.245
Tennessee,Dolphin,0.325
EQUATORIAL_GUINEA,Hamster,0.925
COSTA_RICA,Magpie,0.66
Dominica,Zebra,0.125
Finland,Baboon,0.455
Turkey,Bison,0.99
Madagascar,Goose,0.135
Malaysia,Hornet,0.06
Ukraine,Jackal,0.06
Tanzania,Cheetah,0.775
MARSHALL_ISLANDS,Nightingale,0.75
Saudi_Arabia,Magpie,0.985
Taiwan,Flamingo,0.905
Tuvalu,Giraffe,0.505
Samoa,Lion,0.08
Louisiana,Mule,0.545
Ukraine,Nightingale,0.895
Missouri,Hornet,0.475
North_Carolina,Fish,0.215
Rhode_Island,Cobra,0.74
Cyprus,Black_panther,0.425
Guatemala,Jaguar,0.175
Guatemala,Snipe,0.19
Ukraine,Columbidae,0.195
Alaska,Baboon,0.8
Arizona,Otter,0.125
Sweden,Donkey,0.585
Maryland,Mouse,0.985
Uruguay,Peafowl,0.34
DOMINICAN_REPUBLIC,Mule,0.985
Malaysia,Peafowl,0.915
Uganda,Rhinoceros,0.665
Louisiana,Badger,0.025
Texas,Lion,0.395
Pennsylvania,Baboon,0.475
Georgia,Peafowl,0.425
Wyoming,Dolphin,0.58
Washington,Hyena,0.435
Uzbekistan,Badger,0.265
NEW_ZEALAND,Jaguar,0.85
Luxembourg,Hamster,0.725
Wyoming,Fish,0.015
Uruguay,Reindeer,0.39
Vatican_City,Mule,0.16
Taiwan,Hornet,0.365
Nebraska,Magpie,0.91
Malawi,Goose,0.915
Latvia,Flamingo,0.04
South_Carolina,Alligator,0.83
TRINIDAD_AND_TOBAGO,Giraffe,0.97
Malta,Ostrich,0.855
Pennsylvania,Skunk,0.41
Mississippi,Snipe,0.405
Ethiopia,Lion,0.24
